Outcome category,Outcome detail,Cost / saving detail,Unit,Agency bearing the cost / making the fiscal saving 1,Agency bearing the cost / making the fiscal saving 2,Fiscal value,Economic value,Social value,Original source
CRIME,DOMESTIC VIOLENCE,Domestic violence - fiscal cost per incident: health,Per incident,NHS,Acute Trust / Hospital,1608.442468,,,"Sylvia Walby - The Cost of Domestic violence, update (2009), p.8"
CRIME,DOMESTIC VIOLENCE,Domestic violence - fiscal cost per incident: criminal justice system (excluding police),Per incident,Criminal Justice System,,798.0401996,,,"Sylvia Walby - The Cost of Domestic violence, update (2009), p.8"
CRIME,DOMESTIC VIOLENCE,Domestic violence - fiscal cost per incident: police,Per incident,Police,,570.028714,,,"Sylvia Walby - The Cost of Domestic violence, update (2009), p.8"
CRIME,DOMESTIC VIOLENCE,"Domestic violence - fiscal cost per incident: local authority, social services (children)",Per incident,Local Authority,Children's Services,265.0976911,,,"Sylvia Walby - The Cost of Domestic violence, update (2009), p.8"
CRIME,DOMESTIC VIOLENCE,"Domestic violence - fiscal cost per incident: local authority, housing services",Per incident,Local Authority,Housing Services,151.0919483,,,"Sylvia Walby - The Cost of Domestic violence, update (2009), p.8"
CRIME,OFFENDING,"Offender, Prison  Average cost across all prisons, including central costs (costs per prisoner per annum)",Per prisoner per year,Criminal Justice System,Prison,52006.02597,,,"HMPPS - Costs per place and costs per prisoner by individual prison: HM Prison & Probation Service Annual Report and Accounts 2020-21 - Management Information Addendum (MOJ, 2022)"
CRIME,OFFENDING,"Offender, Prison  Male Category B Trainer prison including central costs (costs per prisoner per annum)",Per prisoner per year,Criminal Justice System,Prison,54109.51497,,,"HMPPS - Costs per place and costs per prisoner by individual prison: HM Prison & Probation Service Annual Report and Accounts 2020-21 - Management Information Addendum (MOJ, 2022)"
CRIME,OFFENDING,"Offender, Prison  Male Category C Trainer prison including central costs (costs per prisoner per annum)",Per prisoner per year,Criminal Justice System,Prison,44894.12752,,,"HMPPS - Costs per place and costs per prisoner by individual prison: HM Prison & Probation Service Annual Report and Accounts 2020-21 - Management Information Addendum (MOJ, 2022)"
CRIME,OFFENDING,"Offender, Prison  Male dispersal prison including central costs (costs per prisoner per annum)",Per prisoner per year,Criminal Justice System,Prison,78515.57372,,,"HMPPS - Costs per place and costs per prisoner by individual prison: HM Prison & Probation Service Annual Report and Accounts 2020-21 - Management Information Addendum (MOJ, 2022)"
CRIME,OFFENDING,"Offender, Prison  Male open prison including central costs (costs per prisoner per annum)",Per prisoner per year,Criminal Justice System,Prison,45816.95543,,,"HMPPS - Costs per place and costs per prisoner by individual prison: HM Prison & Probation Service Annual Report and Accounts 2020-21 - Management Information Addendum (MOJ, 2022)"
CRIME,OFFENDING,"Offender, Prison  Male reception prison including central costs (costs per prisoner per annum)",Per prisoner per year,Criminal Justice System,Prison,50771.64964,,,"HMPPS - Costs per place and costs per prisoner by individual prison: HM Prison & Probation Service Annual Report and Accounts 2020-21 - Management Information Addendum (MOJ, 2022)"
CRIME,OFFENDING,"Offender, Prison  Female closed prison including central costs (costs per prisoner per annum)",Per prisoner per year,Criminal Justice System,Prison,79752.09866,,,"HMPPS - Costs per place and costs per prisoner by individual prison: HM Prison & Probation Service Annual Report and Accounts 2020-21 - Management Information Addendum (MOJ, 2022)"
CRIME,OFFENDING,"Offender, Prison  Female open prison including central costs (costs per prisoner per annum)",Per prisoner per year,Criminal Justice System,Prison,76177.88625,,,"HMPPS - Costs per place and costs per prisoner by individual prison: HM Prison & Probation Service Annual Report and Accounts 2020-21 - Management Information Addendum (MOJ, 2022)"
CRIME,OFFENDING,"Offender, Prison  Female local prison including central costs (costs per prisoner per annum)",Per prisoner per year,Criminal Justice System,Prison,76375.55836,,,"HMPPS - Costs per place and costs per prisoner by individual prison: HM Prison & Probation Service Annual Report and Accounts 2020-21 - Management Information Addendum (MOJ, 2022)"
CRIME,OFFENDING,Unit cost of custody served in prison (over 18) (per person per month served in prison) ,Per month,Criminal Justice System,Prison,3251.224015,,,"NAO Analysis, based on CIPFA, Home Office, Ministry of Justice and Youth Justice Board Data. Cited in NAO 2011 - The cost of a cohort of offenders to the criminal justice system p18 fig 8"
CRIME,OFFENDING,Offender Management Team per offender (over 18) - supervising community sentences,Per year,Criminal Justice System,Prison,490.3620504,,,"NAO Analysis, based on CIPFA, Home Office, Ministry of Justice and Youth Justice Board Data. Cited in NAO 2011 - The cost of a cohort of offenders to the criminal justice system p18 fig 8"
CRIME,YOUTH OFFENDING,"Youth offender, average cost of a first time entrant (under 18) to the Criminal Justice System in the first year following the offence",Per year,Criminal Justice System,,4329.4711,,,"NAO Analysis, based on CIPFA, Home Office, Ministry of Justice and Youth Justice Board Data. Cited in NAO 2011 - The cost of a cohort of offenders to the criminal justice system p34 fig14"
CRIME,YOUTH OFFENDING,"Youth offender, prison  Male closed Young Offenders Institute (ages 18-21), including central costs (costs per prisoner per annum)",Per person per year,Criminal Justice System,Young Offenders Institute,100707.4901,,,"HMPPS - Costs per place and costs per prisoner by individual prison: HM Prison & Probation Service Annual Report and Accounts 2020-21 - Management Information Addendum (MOJ, 2022)"
CRIME,YOUTH OFFENDING,"Youth offender, prison Male Young Offenders Institute, young people (ages 15-17), including central costs (costs per prisoner per annum)",Per person per year,Criminal Justice System,Young Offenders Institute,210055.6145,,,"HMPPS - Costs per place and costs per prisoner by individual prison: HM Prison & Probation Service Annual Report and Accounts 2020-21 - Management Information Addendum (MOJ, 2022)"
CRIME,YOUTH OFFENDING,Case Manager / Youth Offending Team (YOT) practitioner - cost per hour,Per hour,Local Authority,Children's Services,39.83333182,,,"Unit Costs in Criminal Justice (Brookes et al, 2013), p.65"
CRIME,PROCEEDINGS,Unit cost of court event: Violence against a person (over 18) (per person per court event) ,Per event,Criminal Justice System,Court,17466.22922,,,"NAO Analysis, based on CIPFA, Home Office, Ministry of Justice and Youth Justice Board Data. Cited in NAO 2011 - The cost of a cohort of offenders to the criminal justice system p18 fig 8"
CRIME,PROCEEDINGS,Unit cost of court event: Sexual Offences (over 18) (per person per court event) ,Per event,Criminal Justice System,Court,14953.98219,,,"NAO Analysis, based on CIPFA, Home Office, Ministry of Justice and Youth Justice Board Data. Cited in NAO 2011 - The cost of a cohort of offenders to the criminal justice system p18 fig 8"
CRIME,PROCEEDINGS,Unit cost of court event: Burglary (over 18) (per person per court event) ,Per event,Criminal Justice System,Court,4736.045797,,,"NAO Analysis, based on CIPFA, Home Office, Ministry of Justice and Youth Justice Board Data. Cited in NAO 2011 - The cost of a cohort of offenders to the criminal justice system p18 fig 8"
CRIME,PROCEEDINGS,Unit cost of court event: Robbery (over 18) (per person per court event) ,Per event,Criminal Justice System,Court,12949.95353,,,"NAO Analysis, based on CIPFA, Home Office, Ministry of Justice and Youth Justice Board Data. Cited in NAO 2011 - The cost of a cohort of offenders to the criminal justice system p18 fig 8"
CRIME,PROCEEDINGS,Unit cost of court event: Theft and handling stolen goods (over 18) (per person per court event) ,Per event,Criminal Justice System,Court,5510.735423,,,"NAO Analysis, based on CIPFA, Home Office, Ministry of Justice and Youth Justice Board Data. Cited in NAO 2011 - The cost of a cohort of offenders to the criminal justice system p18 fig 8"
CRIME,PROCEEDINGS,Unit cost of court event: Fraud and Forgery (over 18) (per person per court event) ,Per event,Criminal Justice System,Court,4263.540068,,,"NAO Analysis, based on CIPFA, Home Office, Ministry of Justice and Youth Justice Board Data. Cited in NAO 2011 - The cost of a cohort of offenders to the criminal justice system p18 fig 8"
CRIME,PROCEEDINGS,Unit cost of court event: Criminal damage (over 18) (per person per court event) ,Per event,Criminal Justice System,Court,611.235609,,,"NAO Analysis, based on CIPFA, Home Office, Ministry of Justice and Youth Justice Board Data. Cited in NAO 2011 - The cost of a cohort of offenders to the criminal justice system p18 fig 8"
CRIME,PROCEEDINGS,Unit cost of court event: Drug offences (over 18) (per person per court event) ,Per event,Criminal Justice System,Court,3433.907916,,,"NAO Analysis, based on CIPFA, Home Office, Ministry of Justice and Youth Justice Board Data. Cited in NAO 2011 - The cost of a cohort of offenders to the criminal justice system p18 fig 8"
CRIME,PROCEEDINGS,Unit cost of court event: Indictable motoring offences (over 18) (per person per court event) ,Per event,Criminal Justice System,Court,2900.965407,,,"NAO Analysis, based on CIPFA, Home Office, Ministry of Justice and Youth Justice Board Data. Cited in NAO 2011 - The cost of a cohort of offenders to the criminal justice system p18 fig 8"
CRIME,PROCEEDINGS,Unit cost of court event: Other indictable offences (over 18) (per person per court event) ,Per event,Criminal Justice System,Court,2900.965407,,,"NAO Analysis, based on CIPFA, Home Office, Ministry of Justice and Youth Justice Board Data. Cited in NAO 2011 - The cost of a cohort of offenders to the criminal justice system p18 fig 8"
CRIME,PROCEEDINGS,Unit cost of court event: Breach offences (over 18) (per person per court event) ,Per event,Criminal Justice System,Court,373.6091812,,,"NAO Analysis, based on CIPFA, Home Office, Ministry of Justice and Youth Justice Board Data. Cited in NAO 2011 - The cost of a cohort of offenders to the criminal justice system p18 fig 8"
CRIME,PROCEEDINGS,Unit cost of court event: Violence against a person (under 18) (per person per court event) ,Per event,Criminal Justice System,Court,9391.051368,,,"NAO Analysis, based on CIPFA, Home Office, Ministry of Justice and Youth Justice Board Data. Cited in NAO 2011 - The cost of a cohort of offenders to the criminal justice system p18 fig 8"
CRIME,PROCEEDINGS,Unit cost of court event: Sexual Offences (under 18) (per person per court event) ,Per event,Criminal Justice System,Court,5578.040018,,,"NAO Analysis, based on CIPFA, Home Office, Ministry of Justice and Youth Justice Board Data. Cited in NAO 2011 - The cost of a cohort of offenders to the criminal justice system p18 fig 8"
CRIME,PROCEEDINGS,Unit cost of court event: Burglary (under 18) (per person per court event) ,Per event,Criminal Justice System,Court,2266.379224,,,"NAO Analysis, based on CIPFA, Home Office, Ministry of Justice and Youth Justice Board Data. Cited in NAO 2011 - The cost of a cohort of offenders to the criminal justice system p18 fig 8"
CRIME,PROCEEDINGS,Unit cost of court event: Robbery (under 18) (per person per court event) ,Per event,Criminal Justice System,Court,6593.103198,,,"NAO Analysis, based on CIPFA, Home Office, Ministry of Justice and Youth Justice Board Data. Cited in NAO 2011 - The cost of a cohort of offenders to the criminal justice system p18 fig 8"
CRIME,PROCEEDINGS,Unit cost of court event: Theft and handling stolen goods (under 18) (per person per court event) ,Per event,Criminal Justice System,Court,3633.074575,,,"NAO Analysis, based on CIPFA, Home Office, Ministry of Justice and Youth Justice Board Data. Cited in NAO 2011 - The cost of a cohort of offenders to the criminal justice system p18 fig 8"
CRIME,PROCEEDINGS,Unit cost of court event: Fraud and Forgery (under 18) (per person per court event) ,Per event,Criminal Justice System,Court,1785.632116,,,"NAO Analysis, based on CIPFA, Home Office, Ministry of Justice and Youth Justice Board Data. Cited in NAO 2011 - The cost of a cohort of offenders to the criminal justice system p18 fig 8"
CRIME,PROCEEDINGS,Unit cost of court event: Criminal damage (under 18) (per person per court event) ,Per event,Criminal Justice System,Court,1153.79306,,,"NAO Analysis, based on CIPFA, Home Office, Ministry of Justice and Youth Justice Board Data. Cited in NAO 2011 - The cost of a cohort of offenders to the criminal justice system p18 fig 8"
CRIME,PROCEEDINGS,Unit cost of court event: Drug offences (under 18) (per person per court event) ,Per event,Criminal Justice System,Court,1922.988433,,,"NAO Analysis, based on CIPFA, Home Office, Ministry of Justice and Youth Justice Board Data. Cited in NAO 2011 - The cost of a cohort of offenders to the criminal justice system p18 fig 8"
CRIME,PROCEEDINGS,Unit cost of court event: Indictable motoring offences (under 18) (per person per court event) ,Per event,Criminal Justice System,Court,3296.551599,,,"NAO Analysis, based on CIPFA, Home Office, Ministry of Justice and Youth Justice Board Data. Cited in NAO 2011 - The cost of a cohort of offenders to the criminal justice system p18 fig 8"
CRIME,PROCEEDINGS,Unit cost of court event: Breach offences (under 18) (per person per court event) ,Per event,Criminal Justice System,Court,549.4252665,,,"NAO Analysis, based on CIPFA, Home Office, Ministry of Justice and Youth Justice Board Data. Cited in NAO 2011 - The cost of a cohort of offenders to the criminal justice system p18 fig 8"
CRIME,PROCEEDINGS,Unit cost of custody served in prison (under 18): (per person per month) ,Per month,Criminal Justice System,Court,6727.712388,,,"NAO Analysis, based on CIPFA, Home Office, Ministry of Justice and Youth Justice Board Data. Cited in NAO 2011 - The cost of a cohort of offenders to the criminal justice system p18 fig 8"
CRIME,PROCEEDINGS,Criminal proceedings:  Arrest - detained,Per incident,Police,,862.0932582,,, Salford: Police costs 2006/07 (unpublished)
CRIME,PROCEEDINGS,Criminal proceedings:  Arrest - with no further action  (simple caution),Per incident,Police,,414.3281258,,, Salford: Police costs 2006/07 (unpublished)
CRIME,ALL CRIME,"Crime - average cost per incident of crime, across all types of crime (fiscal, economic and social values)",Per incident,Multiple,,1181.224761,1340.163847,1698.153894,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
CRIME,ALL CRIME,"Crime - average fiscal cost per incident of crime, across all types of crime; police costs",Per incident,Police,,357.193602,,,"Figures derived from 'The Economic and Social Costs of Crime, Second Edition'. This estimates the total cost (fiscal, economic and social) of crime. These costs have been disaggregated to identify the breakdown into fiscal, economic and social elements of the cost of crime and the breakdown of the fiscal costs to each agency using the split of expenditure from the same report. Further agency breakdowns are available in Table 23 of the original report (pg.58). Analysis carried out by the GMCA Research Team and assured by the Home Office."
